x_block,y_block,n_cells,positive_cells,center_Boylam,center_Enlem,mean_score_probability_mlp,max_score_probability_mlp,mean_score_topsis_pi,max_score_topsis_pi,mean_score_vikor_pi,max_score_vikor_pi,mean_score_topsis_shap,max_score_topsis_shap,mean_score_vikor_shap,max_score_vikor_shap
5950,1788,100,26,5950500.0,1788500.0,0.26008716,1.0,0.64284754,0.9062108,0.6433373,0.9825863,0.69111395,0.76487523,0.6453672,0.9622103
5949,1713,96,24,5949484.375,1713517.7083333333,0.25907955,1.0,0.61707467,0.8883838,0.607966,0.9520639,0.6719095,0.75223976,0.6012084,0.9137925
5856,1717,4,0,5856800.0,1717950.0,0.2587885,0.67970675,0.54492795,0.6713533,0.51226884,0.64801145,0.66498435,0.6835717,0.49175867,0.59498197
5931,1723,100,24,5931500.0,1723500.0,0.25859857,0.9999635,0.6008582,0.7725969,0.58179414,0.79103136,0.67827064,0.73407376,0.5850786,0.79805845
6045,1690,100,3,6045500.0,1690500.0,0.2571606,0.9690243,0.5302536,0.7464527,0.49473155,0.7722838,0.6480384,0.72145206,0.46783102,0.75822407
5941,1720,100,25,5941500.0,1720500.0,0.25562268,1.0,0.63354343,0.88718015,0.62790227,0.9544819,0.68808794,0.7538685,0.6249352,0.91751343
5892,1731,100,24,5892500.0,1731500.0,0.25477037,1.0,0.6387366,0.8886203,0.6323885,0.94896775,0.6894552,0.75283504,0.6273567,0.8996482
5940,1711,100,25,5940500.0,1711500.0,0.25409874,1.0,0.61072123,0.8908338,0.60282373,0.9585651,0.6802096,0.7611077,0.60998386,0.93506294
5942,1721,100,24,5942500.0,1721500.0,0.25382128,1.0,0.61255896,0.8875019,0.60442644,0.9548082,0.6744383,0.7525374,0.59955955,0.9128187
5865,1729,100,0,5865500.0,1729500.0,0.25259292,0.9979291,0.5308546,0.74263835,0.49923316,0.7607111,0.67323625,0.7635071,0.5115924,0.78146905
5934,1721,100,25,5934500.0,1721500.0,0.25191337,0.99674803,0.5870572,0.7724303,0.56625754,0.7935254,0.6672884,0.72988987,0.5689426,0.81725407
5890,1731,100,24,5890500.0,1731500.0,0.25185636,1.0,0.6312782,0.8899443,0.6266836,0.9587536,0.68149066,0.7522133,0.62060446,0.90440905
5942,1774,100,25,5942500.0,1774500.0,0.25163293,1.0,0.6153087,0.9067671,0.60700554,0.9829743,0.6853569,0.76535845,0.61360407,0.9673448
5950,1781,100,25,5950500.0,1781500.0,0.25052267,1.0,0.62842894,0.90685004,0.62343276,0.983733,0.695589,0.77156967,0.63816303,0.97763944
5946,1781,100,25,5946500.0,1781500.0,0.25007835,1.0,0.639779,0.9111595,0.6413955,0.98744506,0.696719,0.7813397,0.65812194,0.98935914
5857,1728,100,17,5857500.0,1728500.0,0.24981524,0.99999976,0.57950103,0.8572425,0.5635601,0.91537267,0.67647827,0.75184035,0.5751643,0.9276958
5924,1779,100,25,5924500.0,1779500.0,0.24702652,0.9999984,0.5852655,0.87479436,0.5656388,0.9301755,0.66964513,0.74506414,0.57151335,0.9182263
5892,1733,100,24,5892500.0,1733500.0,0.2467674,1.0,0.614365,0.8885301,0.60241014,0.9497705,0.6792821,0.7506899,0.5975564,0.8986468
